ds,y
2015-01-01,447
2015-01-02,184
2015-01-03,150
2015-01-04,149
2015-01-05,310
2015-01-06,462
2015-01-07,423
2015-01-08,432
2015-01-09,185
2015-01-10,450
2015-01-11,211
2015-01-12,403
2015-01-13,412
2015-01-14,134
2015-01-15,423
2015-01-16,389
2015-01-17,373
2015-01-18,213
2015-01-19,442
2015-01-20,460
2015-01-21,413
2015-01-22,177
2015-01-23,277
2015-01-24,326
2015-01-25,223
2015-01-26,239
2015-01-27,379
2015-01-28,240
2015-01-29,384
2015-01-30,412
2015-01-31,394
2015-02-01,220
2015-02-02,133
2015-02-03,371
2015-02-04,171
2015-02-05,275
2015-02-06,490
2015-02-07,215
2015-02-08,393
2015-02-09,419
2015-02-10,158
2015-02-11,302
2015-02-12,158
2015-02-13,267
2015-02-14,390
2015-02-15,243
2015-02-16,468
2015-02-17,135
2015-02-18,327
2015-02-19,114
2015-02-20,218
2015-02-21,212
2015-02-22,248
2015-02-23,204
2015-02-24,495
2015-02-25,176
2015-02-26,156
2015-02-27,342
2015-02-28,119
2015-03-01,438
2015-03-02,124
2015-03-03,233
2015-03-04,319
2015-03-05,497
2015-03-06,385
2015-03-07,358
2015-03-08,379
2015-03-09,254
2015-03-10,434
2015-03-11,269
2015-03-12,242
2015-03-13,185
2015-03-14,493
2015-03-15,189
2015-03-16,177
2015-03-17,121
2015-03-18,225
2015-03-19,177
2015-03-20,321
2015-03-21,476
2015-03-22,136
2015-03-23,183
2015-03-24,428
2015-03-25,237
2015-03-26,275
2015-03-27,386
2015-03-28,366
2015-03-29,429
2015-03-30,145
2015-03-31,309
2015-04-01,370
2015-04-02,139
2015-04-03,306
2015-04-04,406
2015-04-05,249
2015-04-06,436
2015-04-07,379
2015-04-08,185
2015-04-09,257
2015-04-10,342
2015-04-11,288
2015-04-12,447
2015-04-13,214
2015-04-14,127
2015-04-15,380
2015-04-16,146
2015-04-17,463
2015-04-18,409
2015-04-19,288
2015-04-20,339
2015-04-21,170
2015-04-22,162
2015-04-23,163
2015-04-24,374
2015-04-25,392
2015-04-26,271
2015-04-27,453
2015-04-28,447
2015-04-29,434
2015-04-30,487
2015-05-01,107
2015-05-02,247
2015-05-03,143
2015-05-04,352
2015-05-05,187
2015-05-06,181
2015-05-07,213
2015-05-08,458
2015-05-09,232
2015-05-10,104
2015-05-11,459
2015-05-12,153
2015-05-13,136
2015-05-14,313
2015-05-15,389
2015-05-16,432
2015-05-17,149
2015-05-18,218
2015-05-19,358
2015-05-20,322
2015-05-21,300
2015-05-22,251
2015-05-23,133
2015-05-24,447
2015-05-25,320
2015-05-26,298
2015-05-27,105
2015-05-28,211
2015-05-29,327
2015-05-30,311
2015-05-31,285
2015-06-01,302
2015-06-02,432
2015-06-03,352
2015-06-04,378
2015-06-05,226
2015-06-06,153
2015-06-07,315
2015-06-08,442
2015-06-09,466
2015-06-10,449
2015-06-11,441
2015-06-12,440
2015-06-13,219
2015-06-14,110
2015-06-15,312
2015-06-16,487
2015-06-17,423
2015-06-18,419
2015-06-19,197
2015-06-20,241
2015-06-21,142
2015-06-22,154
2015-06-23,474
2015-06-24,471
2015-06-25,374
2015-06-26,450
2015-06-27,178
2015-06-28,329
2015-06-29,187
2015-06-30,466
2015-07-01,476
2015-07-02,244
2015-07-03,282
2015-07-04,112
2015-07-05,190
2015-07-06,319
2015-07-07,202
2015-07-08,149
2015-07-09,103
2015-07-10,239
2015-07-11,231
2015-07-12,342
2015-07-13,343
2015-07-14,153
2015-07-15,331
2015-07-16,461
2015-07-17,367
2015-07-18,206
2015-07-19,238
2015-07-20,127
2015-07-21,116
2015-07-22,315
2015-07-23,126
2015-07-24,403
2015-07-25,205
2015-07-26,222
2015-07-27,224
2015-07-28,255
2015-07-29,391
2015-07-30,477
2015-07-31,482
2015-08-01,388
2015-08-02,500
2015-08-03,153
2015-08-04,278
2015-08-05,191
2015-08-06,168
2015-08-07,346
2015-08-08,344
2015-08-09,309
2015-08-10,175
2015-08-11,232
2015-08-12,108
2015-08-13,375
2015-08-14,185
2015-08-15,423
2015-08-16,442
2015-08-17,426
2015-08-18,139
2015-08-19,491
2015-08-20,293
2015-08-21,499
2015-08-22,298
2015-08-23,499
2015-08-24,168
2015-08-25,223
2015-08-26,270
2015-08-27,457
2015-08-28,366
2015-08-29,238
2015-08-30,393
2015-08-31,103
2015-09-01,467
2015-09-02,252
2015-09-03,319
2015-09-04,258
2015-09-05,165
2015-09-06,127
2015-09-07,477
2015-09-08,408
2015-09-09,477
2015-09-10,315
2015-09-11,337
2015-09-12,449
2015-09-13,254
2015-09-14,358
2015-09-15,422
2015-09-16,492
2015-09-17,293
2015-09-18,291
2015-09-19,433
2015-09-20,239
2015-09-21,193
2015-09-22,275
2015-09-23,277
2015-09-24,133
2015-09-25,138
2015-09-26,368
2015-09-27,336
2015-09-28,216
2015-09-29,433
2015-09-30,352
2015-10-01,312
2015-10-02,323
2015-10-03,402
2015-10-04,364
2015-10-05,234
2015-10-06,464
2015-10-07,281
2015-10-08,152
2015-10-09,497
2015-10-10,165
2015-10-11,224
