ds, y 
01/07/2012,37
02/07/2012,37
03/07/2012,37
04/07/2012,37
05/07/2012,37
06/07/2012,37
07/07/2012,37
08/07/2012,37
09/07/2012,37
10/07/2012,37
11/07/2012,37
12/07/2012,37
13/07/2012,37
14/07/2012,37
15/07/2012,37
16/07/2012,37
17/07/2012,37
18/07/2012,37
19/07/2012,37
20/07/2012,37
21/07/2012,37
22/07/2012,37
23/07/2012,37
24/07/2012,37
25/07/2012,37
26/07/2012,37
27/07/2012,37
28/07/2012,37
29/07/2012,37
30/07/2012,37
31/07/2012,37
01/08/2012,38
02/08/2012,38
03/08/2012,38
04/08/2012,38
05/08/2012,38
06/08/2012,38
07/08/2012,38
08/08/2012,38
09/08/2012,38
10/08/2012,38
11/08/2012,38
12/08/2012,38
13/08/2012,38
14/08/2012,38
15/08/2012,38
16/08/2012,38
17/08/2012,38
18/08/2012,38
19/08/2012,38
20/08/2012,38
21/08/2012,38
22/08/2012,38
23/08/2012,38
24/08/2012,38
25/08/2012,38
26/08/2012,38
27/08/2012,38
28/08/2012,38
29/08/2012,38
30/08/2012,38
31/08/2012,38
01/09/2012,34
02/09/2012,34
03/09/2012,34
04/09/2012,34
05/09/2012,34
06/09/2012,34
07/09/2012,34
08/09/2012,34
09/09/2012,34
10/09/2012,34
11/09/2012,34
12/09/2012,34
13/09/2012,34
14/09/2012,34
15/09/2012,34
16/09/2012,34
17/09/2012,34
18/09/2012,34
19/09/2012,34
20/09/2012,34
21/09/2012,34
22/09/2012,34
23/09/2012,34
24/09/2012,34
25/09/2012,34
26/09/2012,34
27/09/2012,34
28/09/2012,34
29/09/2012,34
30/09/2012,34
01/10/2012,33
02/10/2012,33
03/10/2012,33
04/10/2012,33
05/10/2012,33
06/10/2012,33
07/10/2012,33
08/10/2012,33
09/10/2012,33
10/10/2012,33
11/10/2012,33
12/10/2012,33
13/10/2012,33
14/10/2012,33
15/10/2012,33
16/10/2012,33
17/10/2012,33
18/10/2012,33
19/10/2012,33
20/10/2012,33
21/10/2012,33
22/10/2012,33
23/10/2012,33
24/10/2012,33
25/10/2012,33
26/10/2012,33
27/10/2012,33
28/10/2012,33
29/10/2012,33
30/10/2012,33
31/10/2012,33
01/11/2012,34
02/11/2012,34
03/11/2012,34
04/11/2012,34
05/11/2012,34
06/11/2012,34
07/11/2012,34
08/11/2012,34
09/11/2012,34
10/11/2012,34
11/11/2012,34
12/11/2012,34
13/11/2012,34
14/11/2012,34
15/11/2012,34
16/11/2012,34
17/11/2012,34
18/11/2012,34
19/11/2012,34
20/11/2012,34
21/11/2012,34
22/11/2012,34
23/11/2012,34
24/11/2012,34
25/11/2012,34
26/11/2012,34
27/11/2012,34
28/11/2012,34
29/11/2012,34
30/11/2012,34
01/12/2012,28
02/12/2012,28
03/12/2012,28
04/12/2012,28
05/12/2012,28
06/12/2012,28
07/12/2012,28
08/12/2012,28
09/12/2012,28
10/12/2012,28
11/12/2012,28
12/12/2012,28
13/12/2012,28
14/12/2012,28
15/12/2012,28
16/12/2012,28
17/12/2012,28
18/12/2012,28
19/12/2012,28
20/12/2012,28
21/12/2012,28
22/12/2012,28
23/12/2012,28
24/12/2012,28
25/12/2012,28
26/12/2012,28
27/12/2012,28
28/12/2012,28
29/12/2012,28
30/12/2012,28
31/12/2012,28
01/01/2013,42
02/01/2013,42
03/01/2013,42
04/01/2013,42
05/01/2013,42
06/01/2013,42
07/01/2013,42
08/01/2013,42
09/01/2013,42
10/01/2013,42
11/01/2013,42
12/01/2013,42
13/01/2013,42
14/01/2013,42
15/01/2013,42
16/01/2013,42
17/01/2013,42
18/01/2013,42
19/01/2013,42
20/01/2013,42
21/01/2013,42
22/01/2013,42
23/01/2013,42
24/01/2013,42
25/01/2013,42
26/01/2013,42
27/01/2013,42
28/01/2013,42
29/01/2013,42
30/01/2013,42
31/01/2013,42
01/02/2013,39
02/02/2013,39
03/02/2013,39
04/02/2013,39
05/02/2013,39
06/02/2013,39
07/02/2013,39
08/02/2013,39
09/02/2013,39
10/02/2013,39
11/02/2013,39
12/02/2013,39
13/02/2013,39
14/02/2013,39
15/02/2013,39
16/02/2013,39
17/02/2013,39
18/02/2013,39
19/02/2013,39
20/02/2013,39
21/02/2013,39
22/02/2013,39
23/02/2013,39
24/02/2013,39
25/02/2013,39
26/02/2013,39
27/02/2013,39
28/02/2013,39
01/03/2013,41
02/03/2013,41
03/03/2013,41
04/03/2013,41
05/03/2013,41
06/03/2013,41
07/03/2013,41
08/03/2013,41
09/03/2013,41
10/03/2013,41
11/03/2013,41
12/03/2013,41
13/03/2013,41
14/03/2013,41
15/03/2013,41
16/03/2013,41
17/03/2013,41
18/03/2013,41
19/03/2013,41
20/03/2013,41
21/03/2013,41
22/03/2013,41
23/03/2013,41
24/03/2013,41
25/03/2013,41
26/03/2013,41
27/03/2013,41
28/03/2013,41
29/03/2013,41
30/03/2013,41
31/03/2013,41
01/04/2013,35
02/04/2013,35
03/04/2013,35
04/04/2013,35
05/04/2013,35
06/04/2013,35
07/04/2013,35
08/04/2013,35
09/04/2013,35
10/04/2013,35
11/04/2013,35
12/04/2013,35
13/04/2013,35
14/04/2013,35
15/04/2013,35
16/04/2013,35
17/04/2013,35
18/04/2013,35
19/04/2013,35
20/04/2013,35
21/04/2013,35
22/04/2013,35
23/04/2013,35
24/04/2013,35
25/04/2013,35
26/04/2013,35
27/04/2013,35
28/04/2013,35
29/04/2013,35
30/04/2013,35
01/05/2013,46
02/05/2013,46
03/05/2013,46
04/05/2013,46
05/05/2013,46
06/05/2013,46
07/05/2013,46
08/05/2013,46
09/05/2013,46
10/05/2013,46
11/05/2013,46
12/05/2013,46
13/05/2013,46
14/05/2013,46
15/05/2013,46
16/05/2013,46
17/05/2013,46
18/05/2013,46
19/05/2013,46
20/05/2013,46
21/05/2013,46
22/05/2013,46
23/05/2013,46
24/05/2013,46
25/05/2013,46
26/05/2013,46
27/05/2013,46
28/05/2013,46
29/05/2013,46
30/05/2013,46
31/05/2013,46
01/06/2013,33
02/06/2013,33
03/06/2013,33
04/06/2013,33
05/06/2013,33
06/06/2013,33
07/06/2013,33
08/06/2013,33
09/06/2013,33
10/06/2013,33
11/06/2013,33
12/06/2013,33
13/06/2013,33
14/06/2013,33
15/06/2013,33
16/06/2013,33
17/06/2013,33
18/06/2013,33
19/06/2013,33
20/06/2013,33
21/06/2013,33
22/06/2013,33
23/06/2013,33
24/06/2013,33
25/06/2013,33
26/06/2013,33
27/06/2013,33
28/06/2013,33
29/06/2013,33
30/06/2013,33
01/07/2013,41
02/07/2013,41
03/07/2013,41
04/07/2013,41
05/07/2013,41
06/07/2013,41
07/07/2013,41
08/07/2013,41
09/07/2013,41
10/07/2013,41
11/07/2013,41
12/07/2013,41
13/07/2013,41
14/07/2013,41
15/07/2013,41
16/07/2013,41
17/07/2013,41
18/07/2013,41
19/07/2013,41
20/07/2013,41
21/07/2013,41
22/07/2013,41
23/07/2013,41
24/07/2013,41
25/07/2013,41
26/07/2013,41
27/07/2013,41
28/07/2013,41
29/07/2013,41
30/07/2013,41
31/07/2013,41
01/08/2013,34
02/08/2013,34
03/08/2013,34
04/08/2013,34
05/08/2013,34
06/08/2013,34
07/08/2013,34
08/08/2013,34
09/08/2013,34
10/08/2013,34
11/08/2013,34
12/08/2013,34
13/08/2013,34
14/08/2013,34
15/08/2013,34
16/08/2013,34
17/08/2013,34
18/08/2013,34
19/08/2013,34
20/08/2013,34
21/08/2013,34
22/08/2013,34
23/08/2013,34
24/08/2013,34
25/08/2013,34
26/08/2013,34
27/08/2013,34
28/08/2013,34
29/08/2013,34
30/08/2013,34
31/08/2013,34
01/09/2013,37
02/09/2013,37
03/09/2013,37
04/09/2013,37
05/09/2013,37
06/09/2013,37
07/09/2013,37
08/09/2013,37
09/09/2013,37
10/09/2013,37
11/09/2013,37
12/09/2013,37
13/09/2013,37
14/09/2013,37
15/09/2013,37
16/09/2013,37
17/09/2013,37
18/09/2013,37
19/09/2013,37
20/09/2013,37
21/09/2013,37
22/09/2013,37
23/09/2013,37
24/09/2013,37
25/09/2013,37
26/09/2013,37
27/09/2013,37
28/09/2013,37
29/09/2013,37
30/09/2013,37
01/10/2013,42
02/10/2013,42
03/10/2013,42
04/10/2013,42
05/10/2013,42
06/10/2013,42
07/10/2013,42
08/10/2013,42
09/10/2013,42
10/10/2013,42
11/10/2013,42
12/10/2013,42
13/10/2013,42
14/10/2013,42
15/10/2013,42
16/10/2013,42
17/10/2013,42
18/10/2013,42
19/10/2013,42
20/10/2013,42
21/10/2013,42
22/10/2013,42
23/10/2013,42
24/10/2013,42
25/10/2013,42
26/10/2013,42
27/10/2013,42
28/10/2013,42
29/10/2013,42
30/10/2013,42
31/10/2013,42
01/11/2013,42
02/11/2013,42
03/11/2013,42
04/11/2013,42
05/11/2013,42
06/11/2013,42
07/11/2013,42
08/11/2013,42
09/11/2013,42
10/11/2013,42
11/11/2013,42
12/11/2013,42
13/11/2013,42
14/11/2013,42
15/11/2013,42
16/11/2013,42
17/11/2013,42
18/11/2013,42
19/11/2013,42
20/11/2013,42
21/11/2013,42
22/11/2013,42
23/11/2013,42
24/11/2013,42
25/11/2013,42
26/11/2013,42
27/11/2013,42
28/11/2013,42
29/11/2013,42
30/11/2013,42
01/12/2013,46
02/12/2013,46
03/12/2013,46
04/12/2013,46
05/12/2013,46
06/12/2013,46
07/12/2013,46
08/12/2013,46
09/12/2013,46
10/12/2013,46
11/12/2013,46
12/12/2013,46
13/12/2013,46
14/12/2013,46
15/12/2013,46
16/12/2013,46
17/12/2013,46
18/12/2013,46
19/12/2013,46
20/12/2013,46
21/12/2013,46
22/12/2013,46
23/12/2013,46
24/12/2013,46
25/12/2013,46
26/12/2013,46
27/12/2013,46
28/12/2013,46
29/12/2013,46
30/12/2013,46
31/12/2013,46
01/01/2014,49
02/01/2014,49
03/01/2014,49
04/01/2014,49
05/01/2014,49
06/01/2014,49
07/01/2014,49
08/01/2014,49
09/01/2014,49
10/01/2014,49
11/01/2014,49
12/01/2014,49
13/01/2014,49
14/01/2014,49
15/01/2014,49
16/01/2014,49
17/01/2014,49
18/01/2014,49
19/01/2014,49
20/01/2014,49
21/01/2014,49
22/01/2014,49
23/01/2014,49
24/01/2014,49
25/01/2014,49
26/01/2014,49
27/01/2014,49
28/01/2014,49
29/01/2014,49
30/01/2014,49
31/01/2014,49
01/02/2014,45
02/02/2014,45
03/02/2014,45
04/02/2014,45
05/02/2014,45
06/02/2014,45
07/02/2014,45
08/02/2014,45
09/02/2014,45
10/02/2014,45
11/02/2014,45
12/02/2014,45
13/02/2014,45
14/02/2014,45
15/02/2014,45
16/02/2014,45
17/02/2014,45
18/02/2014,45
19/02/2014,45
20/02/2014,45
21/02/2014,45
22/02/2014,45
23/02/2014,45
24/02/2014,45
25/02/2014,45
26/02/2014,45
27/02/2014,45
28/02/2014,45
01/03/2014,34
02/03/2014,34
03/03/2014,34
04/03/2014,34
05/03/2014,34
06/03/2014,34
07/03/2014,34
08/03/2014,34
09/03/2014,34
10/03/2014,34
11/03/2014,34
12/03/2014,34
13/03/2014,34
14/03/2014,34
15/03/2014,34
16/03/2014,34
17/03/2014,34
18/03/2014,34
19/03/2014,34
20/03/2014,34
21/03/2014,34
22/03/2014,34
23/03/2014,34
24/03/2014,34
25/03/2014,34
26/03/2014,34
27/03/2014,34
28/03/2014,34
29/03/2014,34
30/03/2014,34
31/03/2014,34
01/04/2014,48
02/04/2014,48
03/04/2014,48
04/04/2014,48
05/04/2014,48
06/04/2014,48
07/04/2014,48
08/04/2014,48
09/04/2014,48
10/04/2014,48
11/04/2014,48
12/04/2014,48
13/04/2014,48
14/04/2014,48
15/04/2014,48
16/04/2014,48
17/04/2014,48
18/04/2014,48
19/04/2014,48
20/04/2014,48
21/04/2014,48
22/04/2014,48
23/04/2014,48
24/04/2014,48
25/04/2014,48
26/04/2014,48
27/04/2014,48
28/04/2014,48
