ds,y
2012-07-01,37
2012-07-02,37
2012-07-03,37
2012-07-04,37
2012-07-05,37
2012-07-06,37
2012-07-07,37
2012-07-08,37
2012-07-09,37
2012-07-10,37
2012-07-11,37
2012-07-12,37
2012-07-13,37
2012-07-14,37
2012-07-15,37
2012-07-16,37
2012-07-17,37
2012-07-18,37
2012-07-19,37
2012-07-20,37
2012-07-21,37
2012-07-22,37
2012-07-23,37
2012-07-24,37
2012-07-25,37
2012-07-26,37
2012-07-27,37
2012-07-28,37
2012-07-29,37
2012-07-30,37
2012-07-31,37
2012-08-01,38
2012-08-02,38
2012-08-03,38
2012-08-04,38
2012-08-05,38
2012-08-06,38
2012-08-07,38
2012-08-08,38
2012-08-09,38
2012-08-10,38
2012-08-11,38
2012-08-12,38
2012-08-13,38
2012-08-14,38
2012-08-15,38
2012-08-16,38
2012-08-17,38
2012-08-18,38
2012-08-19,38
2012-08-20,38
2012-08-21,38
2012-08-22,38
2012-08-23,38
2012-08-24,38
2012-08-25,38
2012-08-26,38
2012-08-27,38
2012-08-28,38
2012-08-29,38
2012-08-30,38
2012-08-31,38
2012-09-01,34
2012-09-02,34
2012-09-03,34
2012-09-04,34
2012-09-05,34
2012-09-06,34
2012-09-07,34
2012-09-08,34
2012-09-09,34
2012-09-10,34
2012-09-11,34
2012-09-12,34
2012-09-13,34
2012-09-14,34
2012-09-15,34
2012-09-16,34
2012-09-17,34
2012-09-18,34
2012-09-19,34
2012-09-20,34
2012-09-21,34
2012-09-22,34
2012-09-23,34
2012-09-24,34
2012-09-25,34
2012-09-26,34
2012-09-27,34
2012-09-28,34
2012-09-29,34
2012-09-30,34
2012-10-01,33
2012-10-02,33
2012-10-03,33
2012-10-04,33
2012-10-05,33
2012-10-06,33
2012-10-07,33
2012-10-08,33
2012-10-09,33
2012-10-10,33
2012-10-11,33
2012-10-12,33
2012-10-13,33
2012-10-14,33
2012-10-15,33
2012-10-16,33
2012-10-17,33
2012-10-18,33
2012-10-19,33
2012-10-20,33
2012-10-21,33
2012-10-22,33
2012-10-23,33
2012-10-24,33
2012-10-25,33
2012-10-26,33
2012-10-27,33
2012-10-28,33
2012-10-29,33
2012-10-30,33
2012-10-31,33
2012-11-01,34
2012-11-02,34
2012-11-03,34
2012-11-04,34
2012-11-05,34
2012-11-06,34
2012-11-07,34
2012-11-08,34
2012-11-09,34
2012-11-10,34
2012-11-11,34
2012-11-12,34
2012-11-13,34
2012-11-14,34
2012-11-15,34
2012-11-16,34
2012-11-17,34
2012-11-18,34
2012-11-19,34
2012-11-20,34
2012-11-21,34
2012-11-22,34
2012-11-23,34
2012-11-24,34
2012-11-25,34
2012-11-26,34
2012-11-27,34
2012-11-28,34
2012-11-29,34
2012-11-30,34
2012-12-01,28
2012-12-02,28
2012-12-03,28
2012-12-04,28
2012-12-05,28
2012-12-06,28
2012-12-07,28
2012-12-08,28
2012-12-09,28
2012-12-10,28
2012-12-11,28
2012-12-12,28
2012-12-13,28
2012-12-14,28
2012-12-15,28
2012-12-16,28
2012-12-17,28
2012-12-18,28
2012-12-19,28
2012-12-20,28
2012-12-21,28
2012-12-22,28
2012-12-23,28
2012-12-24,28
2012-12-25,28
2012-12-26,28
2012-12-27,28
2012-12-28,28
2012-12-29,28
2012-12-30,28
2012-12-31,28
2013-01-01,42
2013-01-02,42
2013-01-03,42
2013-01-04,42
2013-01-05,42
2013-01-06,42
2013-01-07,42
2013-01-08,42
2013-01-09,42
2013-01-10,42
2013-01-11,42
2013-01-12,42
2013-01-13,42
2013-01-14,42
2013-01-15,42
2013-01-16,42
2013-01-17,42
2013-01-18,42
2013-01-19,42
2013-01-20,42
2013-01-21,42
2013-01-22,42
2013-01-23,42
2013-01-24,42
2013-01-25,42
2013-01-26,42
2013-01-27,42
2013-01-28,42
2013-01-29,42
2013-01-30,42
2013-01-31,42
2013-02-01,39
2013-02-02,39
2013-02-03,39
2013-02-04,39
2013-02-05,39
2013-02-06,39
2013-02-07,39
2013-02-08,39
2013-02-09,39
2013-02-10,39
2013-02-11,39
2013-02-12,39
2013-02-13,39
2013-02-14,39
2013-02-15,39
2013-02-16,39
2013-02-17,39
2013-02-18,39
2013-02-19,39
2013-02-20,39
2013-02-21,39
2013-02-22,39
2013-02-23,39
2013-02-24,39
2013-02-25,39
2013-02-26,39
