ds,y,dollar
2012-07-01,37,95
2012-07-02,37,95
2012-07-03,37,95
2012-07-04,37,95
2012-07-05,37,95
2012-07-06,37,95
2012-07-07,37,95
2012-07-08,37,95
2012-07-09,37,95
2012-07-10,37,95
2012-07-11,37,95
2012-07-12,37,95
2012-07-13,37,95
2012-07-14,37,95
2012-07-15,37,95
2012-07-16,37,95
2012-07-17,37,95
2012-07-18,37,95
2012-07-19,37,95
2012-07-20,37,95
2012-07-21,37,95
2012-07-22,37,95
2012-07-23,37,95
2012-07-24,37,95
2012-07-25,37,95
2012-07-26,37,95
2012-07-27,37,95
2012-07-28,37,95
2012-07-29,37,95
2012-07-30,37,95
2012-07-31,37,95
2012-08-01,38,95
2012-08-02,38,95
2012-08-03,38,95
2012-08-04,38,95
2012-08-05,38,95
2012-08-06,38,95
2012-08-07,38,95
2012-08-08,38,95
2012-08-09,38,95
2012-08-10,38,95
2012-08-11,38,95
2012-08-12,38,95
2012-08-13,38,95
2012-08-14,38,95
2012-08-15,38,95
2012-08-16,38,95
2012-08-17,38,95
2012-08-18,38,95
2012-08-19,38,95
2012-08-20,38,95
2012-08-21,38,95
2012-08-22,38,95
2012-08-23,38,95
2012-08-24,38,96
2012-08-25,38,96
2012-08-26,38,96
2012-08-27,38,96
2012-08-28,38,96
2012-08-29,38,96
2012-08-30,38,96
2012-08-31,38,96
2012-09-01,34,96
2012-09-02,34,96
2012-09-03,34,96
2012-09-04,34,96
2012-09-05,34,96
2012-09-06,34,96
2012-09-07,34,96
2012-09-08,34,96
2012-09-09,34,96
2012-09-10,34,96
2012-09-11,34,96
2012-09-12,34,96
2012-09-13,34,96
2012-09-14,34,96
2012-09-15,34,96
2012-09-16,34,96
2012-09-17,34,96
2012-09-18,34,96
2012-09-19,34,96
2012-09-20,34,96
2012-09-21,34,96
2012-09-22,34,96
2012-09-23,34,96
2012-09-24,34,96
2012-09-25,34,96
2012-09-26,34,96
2012-09-27,34,96
2012-09-28,34,96
2012-09-29,34,96
2012-09-30,34,96
