ds,y
2012-07-31,1451
2012-08-31,854
2012-09-30,823
2012-10-31,763
2012-11-30,940
2012-12-31,1028
2013-01-31,1122
2013-02-28,1094
2013-03-31,1224
2013-04-30,941
2013-05-31,1368
2013-06-30,1177
2013-07-31,1069
2013-08-31,1047
2013-09-30,1133
2013-10-31,1378
2013-11-30,1455
2013-12-31,1570
2014-01-31,1215
2014-02-28,1207
2014-03-31,1216
2014-04-30,1235
2014-05-31,851
2014-06-30,1091
2014-07-31,805
2014-08-31,1289
2014-09-30,1167
2014-10-31,1281
2014-11-30,1189
2014-12-31,1335
2015-01-31,1089
2015-02-28,950
2015-03-31,1699
2015-04-30,1021
2015-05-31,1135
2015-06-30,1182
2015-07-31,1057
2015-08-31,1529
2015-09-30,1303
2015-10-31,1360
2015-11-30,1529
2015-12-31,1493
2016-01-31,1703
2016-02-28,1132
2016-03-30,1478
2016-04-29,1549
2016-05-30,1396
2016-06-29,1243
2016-07-31,1205
2016-08-31,1489
2016-09-30,1659
2016-10-31,1522
2016-11-30,1543
2016-12-31,1777
2017-01-31,1926
2017-02-28,1505
2017-03-31,710
2017-04-30,1661
2017-05-31,1808
2017-06-30,992
2017-07-31,2044
2017-08-31,1721
2017-09-30,1654
2017-10-31,1728
2017-11-30,1603
2017-12-31,1234
2018-01-31,2002
2018-02-28,1716
2018-03-31,1871
2018-04-30,1510
2018-05-31,1312
2018-06-30,1499
2018-07-31,1786
2018-08-31,1566
2018-09-30,1452
2018-10-31,2614
2018-11-30,2287
2018-12-31,1843
2019-01-31,2362
2019-02-28,2187
2019-03-31,2483
2019-04-30,1737
2019-05-31,1550
2019-06-30,1717
2019-07-31,2293
2019-08-31,1007
2019-09-30,702
2019-10-31,1192
2019-11-30,729
2019-12-31,803
2020-01-31,1389
2020-02-28,1107
2020-03-30,2755
2020-04-29,2057
2020-05-30,3769
2020-06-29,5455
2020-07-31,1428
2020-08-31,960
2020-09-30,863
2020-10-31,590
2020-11-30,1753
2020-12-31,1988
2021-01-31,1012
2021-02-28,1379
2021-03-31,1716
2021-04-30,1281
2021-05-31,2347
2021-06-30,3397
2021-07-31,3051
2021-08-31,2907
2021-09-30,2787
2021-10-31,1264
2021-11-30,1703
2021-12-31,1183
2022-01-31,1324
2022-02-28,1940
2022-03-31,623
2022-04-30,1178
2022-05-31,1186
2022-06-30,2364
2022-07-31,1251
2022-08-31,470
2022-09-30,316
2022-10-31,996
2022-11-30,1055
2022-12-31,1249
2023-01-31,528
2023-02-28,273
2023-03-31,293
2023-04-30,521
2023-05-31,724
2023-06-30,453
