ds,y,,,
01/07/2012,36.6129,,,
02/07/2012,36.6129,,,
03/07/2012,36.6129,,,
04/07/2012,36.6129,,,
05/07/2012,36.6129,,,
06/07/2012,36.6129,,,
07/07/2012,36.6129,,,
08/07/2012,36.6129,,,
09/07/2012,36.6129,,,
10/07/2012,36.6129,,,
11/07/2012,36.6129,,,
12/07/2012,36.6129,,,
13/07/2012,36.6129,,,
14/07/2012,36.6129,,,
15/07/2012,36.6129,,,
16/07/2012,36.6129,,,
17/07/2012,36.6129,,,
18/07/2012,36.6129,,,
19/07/2012,36.6129,,,
20/07/2012,36.6129,,,
21/07/2012,36.6129,,,
22/07/2012,36.6129,,,
23/07/2012,36.6129,,,
24/07/2012,36.6129,,,
25/07/2012,36.6129,,,
26/07/2012,36.6129,,,
27/07/2012,36.6129,,,
28/07/2012,36.6129,,,
29/07/2012,36.6129,,,
30/07/2012,36.6129,,,
31/07/2012,36.6129,,,
01/08/2012,37.8387,,,
02/08/2012,37.8387,,,
03/08/2012,37.8387,,,
04/08/2012,37.8387,,,
05/08/2012,37.8387,,,
06/08/2012,37.8387,,,
07/08/2012,37.8387,,,
08/08/2012,37.8387,,,
09/08/2012,37.8387,,,
10/08/2012,37.8387,,,
11/08/2012,37.8387,,,
12/08/2012,37.8387,,,
13/08/2012,37.8387,,,
14/08/2012,37.8387,,,
15/08/2012,37.8387,,,
16/08/2012,37.8387,,,
17/08/2012,37.8387,,,
18/08/2012,37.8387,,,
19/08/2012,37.8387,,,
20/08/2012,37.8387,,,
21/08/2012,37.8387,,,
22/08/2012,37.8387,,,
23/08/2012,37.8387,,,
24/08/2012,37.8387,,,
25/08/2012,37.8387,,,
26/08/2012,37.8387,,,
27/08/2012,37.8387,,,
28/08/2012,37.8387,,,
29/08/2012,37.8387,,,
30/08/2012,37.8387,,,
31/08/2012,37.8387,,,
01/09/2012,34.0667,,,
02/09/2012,34.0667,,,
03/09/2012,34.0667,,,
04/09/2012,34.0667,,,
05/09/2012,34.0667,,,
06/09/2012,34.0667,,,
07/09/2012,34.0667,,,
08/09/2012,34.0667,,,
09/09/2012,34.0667,,,
10/09/2012,34.0667,,,
11/09/2012,34.0667,,,
12/09/2012,34.0667,,,
13/09/2012,34.0667,,,
14/09/2012,34.0667,,,
15/09/2012,34.0667,,,
16/09/2012,34.0667,,,
17/09/2012,34.0667,,,
18/09/2012,34.0667,,,
19/09/2012,34.0667,,,
20/09/2012,34.0667,,,
21/09/2012,34.0667,,,
22/09/2012,34.0667,,,
23/09/2012,34.0667,,,
24/09/2012,34.0667,,,
25/09/2012,34.0667,,,
26/09/2012,34.0667,,,
27/09/2012,34.0667,,,
28/09/2012,34.0667,,,
29/09/2012,34.0667,,,
30/09/2012,34.0667,,,
01/10/2012,32.9,,,
02/10/2012,32.9,,,
03/10/2012,32.9,,,
04/10/2012,32.9,,,
05/10/2012,32.9,,,
06/10/2012,32.9,,,
07/10/2012,32.9,,,
08/10/2012,32.9,,,
09/10/2012,32.9,,,
10/10/2012,32.9,,,
11/10/2012,32.9,,,
12/10/2012,32.9,,,
13/10/2012,32.9,,,
14/10/2012,32.9,,,
15/10/2012,32.9,,,
16/10/2012,32.9,,,
17/10/2012,32.9,,,
18/10/2012,32.9,,,
19/10/2012,32.9,,,
20/10/2012,32.9,,,
21/10/2012,32.9,,,
22/10/2012,32.9,,,
23/10/2012,32.9,,,
24/10/2012,32.9,,,
25/10/2012,32.9,,,
26/10/2012,32.9,,,
27/10/2012,32.9,,,
28/10/2012,32.9,,,
29/10/2012,32.9,,,
30/10/2012,32.9,,,
31/10/2012,32.9,,,
01/11/2012,34.3667,,,
02/11/2012,34.3667,,,
03/11/2012,34.3667,,,
04/11/2012,34.3667,,,
05/11/2012,34.3667,,,
06/11/2012,34.3667,,,
07/11/2012,34.3667,,,
08/11/2012,34.3667,,,
09/11/2012,34.3667,,,
10/11/2012,34.3667,,,
11/11/2012,34.3667,,,
12/11/2012,34.3667,,,
13/11/2012,34.3667,,,
14/11/2012,34.3667,,,
15/11/2012,34.3667,,,
16/11/2012,34.3667,,,
17/11/2012,34.3667,,,
18/11/2012,34.3667,,,
19/11/2012,34.3667,,,
20/11/2012,34.3667,,,
21/11/2012,34.3667,,,
22/11/2012,34.3667,,,
23/11/2012,34.3667,,,
24/11/2012,34.3667,,,
25/11/2012,34.3667,,,
26/11/2012,34.3667,,,
27/11/2012,34.3667,,,
28/11/2012,34.3667,,,
29/11/2012,34.3667,,,
30/11/2012,34.3667,,,
01/12/2012,28.1667,,,
02/12/2012,28.1667,,,
