ds,y
2007-07-01,1029
2007-08-01,2136
2007-09-01,802
2007-10-01,1202
2007-11-01,953
2007-12-01,643
2008-01-01,1373
2008-02-01,1220
2008-03-01,1143
2008-04-01,1011
2008-05-01,1075
2008-06-01,1614
2008-07-01,1025
2008-08-01,1075
2008-09-01,1132
2008-10-01,1338
2008-11-01,565
2008-12-01,150
2009-01-01,478
2009-02-01,1223
2009-03-01,1659
2009-04-01,936
2009-05-01,701
2009-06-01,862
2009-07-01,1140
2009-08-01,1053
2009-09-01,1070
2009-10-01,1087
2009-11-01,754
2009-12-01,567
2010-01-01,1579
2010-02-01,1409
2010-03-01,1151
2010-04-01,1072
2010-05-01,1510
2010-06-01,1728
2010-07-01,1272
2010-08-01,1180
2010-09-01,1380
2010-10-01,1340
2010-11-01,1075
2010-12-01,628
2011-01-01,1904
2011-02-01,1665
2011-03-01,1670
2011-04-01,1640
2011-05-01,944
2011-06-01,788
2011-07-01,970
2011-08-01,1437
2011-09-01,1865
2011-10-01,1621
2011-11-01,897
2011-12-01,71
2012-01-01,130
2012-02-01,33
2012-03-01,975
2012-04-01,752
2012-05-01,1150
2012-06-01,2218
2012-07-01,1650
2012-08-01,1241
2012-09-01,1530
2012-10-01,1588
2012-11-01,1420
2012-12-01,864
2013-01-01,2220
2013-02-01,2015
2013-03-01,2228
2013-04-01,1780
2013-05-01,2392
2013-06-01,2307
2013-07-01,1962
2013-08-01,2127
2013-09-01,2215
2013-10-01,1720
2013-11-01,1310
2013-12-01,655
2014-01-01,2600
2014-02-01,2232
2014-03-01,1971
2014-04-01,1950
2014-05-01,2260
2014-06-01,2672
2014-07-01,1505
2014-08-01,1634
2014-09-01,1748
2014-10-01,1735
2014-11-01,1266
2014-12-01,690
2015-01-01,3221
2015-02-01,2242
2015-03-01,2364
2015-04-01,2376
2015-05-01,2353
2015-06-01,2488
2015-07-01,2181
2015-08-01,2002
2015-09-01,2001
2015-10-01,1875
2015-11-01,1523
2015-12-01,1028
2016-01-01,3015
2016-02-01,2168
2016-03-01,2749
2016-04-01,2751
2016-05-01,2507
2016-06-01,1926
2016-07-01,2121
2016-08-01,3174
2016-09-01,2764
2016-10-01,3000
2016-11-01,3096
2016-12-01,2416
2017-01-01,4002
2017-02-01,3752
2017-03-01,3795
2017-04-01,2992
2017-05-01,3784
2017-06-01,2108
2017-07-01,3820
2017-08-01,3945
2017-09-01,2769
2017-10-01,3415
2017-11-01,3208
2017-12-01,2464
2018-01-01,3888
2018-02-01,3900
2018-03-01,4665
2018-04-01,4045
2018-05-01,3750
2018-06-01,2941
2018-07-01,4609
2018-08-01,3469
2018-09-01,4083
2018-10-01,4482
2018-11-01,3152
2018-12-01,1989
2019-01-01,4026
2019-02-01,2950
2019-03-01,3449
2019-04-01,2310
2019-05-01,2564
2019-06-01,2106
2019-07-01,1452
2019-08-01,1106
2019-09-01,1368
2019-10-01,1032
2019-11-01,1074
2019-12-01,884
2020-01-01,1878
2020-02-01,1868
2020-03-01,1327
2020-04-01,0
2020-05-01,263
